OrderDate,Month,Year,ProductName,SubcategoryName,CategoryName,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice,Prefix,FirstName,LastName,Age,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,HomeOwner,Occupation,Region,Country,Continent,OrderQuantity,OrderQuantity_MA3,OrderQuantity_MA6,OrderQuantity_pct_change
2017-06-01,6,2017,Mountain Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MR.,ORLANDO,ALONSO,50,S,M,50000.0,0,Partial College,N,Skilled Manual,Northwest,United States,North America,2,1.6666666666666667,1.6666666666666667,0.0
2017-06-01,6,2017,"Road-350-W Yellow, 40",Road Bikes,Bikes,Yellow,40,W,1082.51,1700.99,MRS.,MEGAN,REED,65,M,F,60000.0,2,High School,N,Professional,Canada,Canada,North America,1,1.6666666666666667,1.6666666666666667,-0.5
2017-06-01,6,2017,AWC Logo Cap,Caps,Clothing,Multi,0,U,5.7052,8.6442,MRS.,NANCY,SRINI,52,S,F,20000.0,2,High School,Y,Manual,Germany,Germany,Europe,2,1.6666666666666667,1.6666666666666667,1.0
2017-06-01,6,2017,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Multi,XL,U,31.7244,48.0673,MRS.,NANCY,SRINI,52,S,F,20000.0,2,High School,Y,Manual,Germany,Germany,Europe,1,1.3333333333333333,1.5,-0.5
2017-06-01,6,2017,"Road-350-W Yellow, 42",Road Bikes,Bikes,Yellow,42,W,1082.51,1700.99,MRS.,NANCY,SRINI,52,S,F,20000.0,2,High School,Y,Manual,Germany,Germany,Europe,1,1.3333333333333333,1.5,0.0
2017-06-01,6,2017,"Road-750 Black, 58",Road Bikes,Bikes,Black,58,U,343.6496,539.99,MRS.,NINA,TANG,67,S,F,20000.0,2,Partial High School,N,Clerical,Australia,Australia,Pacific,1,1.0,1.3333333333333333,0.0
2017-06-01,6,2017,Bike Wash - Dissolver,Cleaners,Accessories,Multi,0,0,2.9733,7.95,MRS.,NINA,TANG,67,S,F,20000.0,2,Partial High School,N,Clerical,Australia,Australia,Pacific,2,1.3333333333333333,1.3333333333333333,1.0
2017-06-01,6,2017,LL Road Tire,Tires and Tubes,Accessories,Black,0,0,8.0373,21.49,MRS.,NINA,TANG,67,S,F,20000.0,2,Partial High School,N,Clerical,Australia,Australia,Pacific,2,1.6666666666666667,1.5,0.0
2017-06-01,6,2017,Fender Set - Mountain,Fenders,Accessories,Black,0,0,8.2205,21.98,MR.,OMAR,ZHANG,55,M,M,90000.0,5,Partial College,Y,Professional,Northwest,United States,North America,3,2.3333333333333335,1.6666666666666667,0.5
2017-06-01,6,2017,"Half-Finger Gloves, L",Gloves,Clothing,Black,L,U,9.7136,23.5481,MR.,OMAR,ZHANG,55,M,M,90000.0,5,Partial College,Y,Professional,Northwest,United States,North America,2,2.3333333333333335,1.8333333333333333,-0.33333333333333337
2017-06-01,6,2017,"Road-350-W Yellow, 42",Road Bikes,Bikes,Yellow,42,W,1082.51,1700.99,MR.,RAYMOND,SRINI,50,M,M,20000.0,1,Partial College,Y,Manual,Germany,Germany,Europe,1,2.0,1.8333333333333333,-0.5
2017-06-01,6,2017,Patch Kit/8 Patches,Tires and Tubes,Accessories,Black,0,0,0.8565,2.29,MRS.,NINA,TANG,67,S,F,20000.0,2,Partial High School,N,Clerical,Australia,Australia,Pacific,2,1.6666666666666667,2.0,1.0
2017-06-01,6,2017,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Multi,M,U,31.7244,48.0673,MRS.,MEGAN,REED,65,M,F,60000.0,2,High School,N,Professional,Canada,Canada,North America,1,1.3333333333333333,1.8333333333333333,-0.5
2017-06-01,6,2017,"Sport-100 Helmet, Red",Helmets,Accessories,Red,0,0,13.0863,34.99,MS.,KATHERINE,MORRIS,51,M,F,60000.0,0,Graduate Degree,N,Professional,Southwest,United States,North America,1,1.3333333333333333,1.6666666666666667,0.0
2017-06-01,6,2017,Bike Wash - Dissolver,Cleaners,Accessories,Multi,0,0,2.9733,7.95,MS.,MEAGAN,RAMAN,45,S,F,90000.0,0,Bachelors,Y,Professional,Australia,Australia,Pacific,2,1.3333333333333333,1.5,1.0
2017-06-01,6,2017,"Sport-100 Helmet, Red",Helmets,Accessories,Red,0,0,13.0863,34.99,MR.,MARCUS,PHILLIPS,54,M,M,90000.0,0,Partial College,Y,Professional,Northwest,United States,North America,1,1.3333333333333333,1.3333333333333333,-0.5
2017-06-01,6,2017,ML Mountain Tire,Tires and Tubes,Accessories,Black,0,0,11.2163,29.99,MR.,MARCUS,PHILLIPS,54,M,M,90000.0,0,Partial College,Y,Professional,Northwest,United States,North America,2,1.6666666666666667,1.5,1.0
2017-06-01,6,2017,Mountain Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MR.,MARCUS,PHILLIPS,54,M,M,90000.0,0,Partial College,Y,Professional,Northwest,United States,North America,2,1.6666666666666667,1.5,0.0
2017-06-01,6,2017,"Mountain-200 Black, 42",Mountain Bikes,Bikes,Black,42,U,1105.81,2049.0982,MRS.,MACKENZIE,EVANS,52,S,F,80000.0,3,Bachelors,Y,Skilled Manual,Northwest,United States,North America,1,1.6666666666666667,1.5,-0.5
2017-06-01,6,2017,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,U,31.7244,48.0673,MR.,LUKE,LAL,39,S,M,40000.0,0,High School,N,Skilled Manual,Canada,Canada,North America,1,1.3333333333333333,1.5,0.0
2017-06-01,6,2017,"Half-Finger Gloves, S",Gloves,Clothing,Black,S,U,9.7136,23.5481,MR.,LUKE,LAL,39,S,M,40000.0,0,High School,N,Skilled Manual,Canada,Canada,North America,3,1.6666666666666667,1.6666666666666667,2.0
2017-06-01,6,2017,ML Mountain Tire,Tires and Tubes,Accessories,Black,0,0,11.2163,29.99,MS.,KATHERINE,MORRIS,51,M,F,60000.0,0,Graduate Degree,N,Professional,Southwest,United States,North America,1,1.6666666666666667,1.6666666666666667,-0.6666666666666667
2017-06-01,6,2017,Mountain Tire Tube,Tires and Tubes,Accessories,Black,0,0,1.8663,4.99,MS.,KATHERINE,MORRIS,51,M,F,60000.0,0,Graduate Degree,N,Professional,Southwest,United States,North America,2,2.0,1.6666666666666667,1.0
2017-06-01,6,2017,"Racing Socks, L",Socks,Clothing,White,L,U,3.3623,8.99,MS.,KATHERINE,MORRIS,51,M,F,60000.0,0,Graduate Degree,N,Professional,Southwest,United States,North America,2,1.6666666666666667,1.6666666666666667,0.0
2017-06-01,6,2017,"Road-350-W Yellow, 48",Road Bikes,Bikes,Yellow,48,W,1082.51,1700.99,MR.,JUSTIN,JONES,55,S,M,40000.0,3,High School,Y,Skilled Manual,Southwest,United States,North America,1,1.6666666666666667,1.6666666666666667,-0.5
